Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,8.779982528105716,-5.092571949569828
0.025,8.484868833651541,-4.977018844351103
0.05,8.111224064182055,-4.8293616731609434
0.075,7.550684011984388,-4.592295861492946
0.1,6.83234584352199,-4.27335428943913
0.125,6.002582553788227,-3.8957203519731616
0.15,5.1245042343426945,-3.4972242083911094
0.175,4.271904066337865,-3.126609078774936
0.2,3.505537823708509,-2.819509716449929
0.225,2.8645750508980035,-2.585736088342415
0.25,2.3671168876348583,-2.4175466268378343
0.275,2.0057740500680112,-2.296662240330808
0.3,1.748535632480473,-2.1972550576330647
0.325,1.560039608936564,-2.0981991846680197
0.35,1.4114767673910993,-1.99333534155675
0.375,1.2731430674491464,-1.88067170394453
0.4,1.1230194133729694,-1.7519301997075978
0.425,0.9517237214133026,-1.6010000688667911
0.45,0.7562678769068735,-1.4258882073733892
0.475,0.5388589929176242,-1.2268539123532654
0.5,0.2999060828911837,-1.0033729747621918
0.525,0.03548826727958802,-0.7527953057015925
0.55,-0.2449918072334821,-0.4779169756900033
0.575,-0.519089073503192,-0.18959916918885997
0.6,-0.7770087301727834,0.09653293485544152
0.625,-1.0263260655470068,0.36421096685620263
0.65,-1.2663167723821445,0.6048016037682254
0.675,-1.4787017741988244,0.8009421684355653
0.7,-1.6274149756081857,0.9428735770698635
0.725,-1.6838933324785912,1.0408264682037098
0.75,-1.6468362072693574,1.106667615685576
0.775,-1.5501993861015135,1.1724833387029274
0.8,-1.4416937864185444,1.2674455634942352
0.825,-1.3397661728534869,1.367119904768969
0.85,-1.2407730141966875,1.4621804576565176
0.875,-1.1652645554389276,1.5553836146467712
0.9,-1.105618015135668,1.6490609866392312
0.925,-1.0593947126133378,1.7459375386146367
0.95,-1.0376265172357886,1.8516836066127709
0.975,-1.038510734491283,1.9693104866158093
1.0,-1.047634833281943,2.0993331937235036
1.025,-1.068131017070286,2.2447344914804113
1.05,-1.126203818540922,2.409267596673858
1.075,-1.2353340202881846,2.596877436553545
1.1,-1.3842156275747142,2.7988095074616357
1.125,-1.5561184725309585,2.992351175994021
1.15,-1.7259473672022112,3.1482963271287274
1.175,-1.877813308174843,3.2631960843641488
1.2,-2.0084174469075395,3.3593835229494937
1.225,-2.1134404791680126,3.4523977388099545
1.25,-2.2042606246254692,3.541487375811277
1.275,-2.294963496468223,3.61194240944987
1.3,-2.3854019466635688,3.6440678818639523
1.325,-2.476661019922768,3.6328437335805615
1.35,-2.569293883478316,3.5951139556468523
1.375,-2.659030380691237,3.555123193162518
1.4,-2.706263864248758,3.5066575073618993
1.425,-2.786096702550697,3.5081453157883247
1.45,-2.8455541345383315,3.5219176374135035
1.475,-2.883433155961257,3.5476209831264063
1.5,-2.905755087218867,3.6763532860443227
1.525,-2.931081857003939,3.7759311195597083
1.55,-2.9707486827004743,3.8851064728902567
1.575,-3.032782732255581,3.993956560066951
1.6,-3.113680761593087,4.097431222000843
1.625,-3.2076734060848264,4.193358018444525
1.65,-3.307394314227772,4.269189859995946
