Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,-13.980852617039522,11.464188222897006
0.05,-13.978476990259484,11.435046240734708
0.1,-13.976513530161949,11.4004347586872
0.15,-13.968705217695039,11.290250377451226
0.2,-13.894981210813452,11.208092659794364
0.25,-13.857733213313672,11.126105048982916
0.3,-13.763468362531476,11.008106889764957
0.35,-13.663830134406668,10.917237092717523
0.4,-13.50559036534608,10.740152719848677
0.45,-13.396218084248577,10.507652225489677
0.5,-13.023857462724191,10.200506444060306
0.55,-12.309340616538456,9.46006733894775
0.6,-11.047677476673938,8.05471403937677
0.65,-9.208096479013129,6.081046744431371
0.7,-7.1474271555328075,3.8757206542459066
0.75,-5.344143357844554,1.9395457350903416
0.8,-3.871602257287767,0.7037666732753061
0.85,-2.77062592829134,0.10895831900446767
0.9,-1.8667897781549487,-0.08551826764089496
0.95,-0.8716141961618243,-0.1629850097849409
1.0,0.23775189157979193,-0.2666560110309629
1.05,1.161230852003624,-0.45800731575580794
1.1,1.8041640811233224,-0.6753999270519913
1.15,2.212646396407054,-0.8845775323620044
1.2,2.336958695015039,-1.198877272003867
1.25,2.327444310237786,-1.4981908821156884
1.3,2.239494609683735,-1.734376326299231
1.35,1.8618546686778168,-2.138042459865074
1.4,1.2854010803713793,-2.4878592292799957
1.45,0.6839315341977947,-2.645245434037763
1.5,0.22457115896303814,-2.5670595335667783
1.55,-0.09401095395835708,-2.3714243363209775
1.6,-0.2340092792919047,-2.1088640955384843
1.65,-0.21791988578814422,-1.9692371263511734
1.7,-0.06093662741302231,-1.9706460242657635
1.75,0.34125834767796337,-1.8836730765637442
1.8,0.9300184039728606,-1.7844916640368667
1.85,1.610461940471498,-1.685523870606619
1.9,2.285282439852415,-1.601244517850749
1.95,2.6493483730381837,-1.6167172016490035
2.0,2.6651146824416023,-1.9283788223773257
2.05,2.6923328706537712,-2.6753164897923556
2.1,3.0831934871148206,-3.9845521728502193
