Time [s],Plantarflexion(+)/dorsiflexion(-),Supination(-)/pronation(+)
0.0,0.7838169937738343,-9.018490900217337
0.008,0.7804963146460954,-9.018398861667118
0.016,0.7760713117671699,-9.020339688846903
0.024,0.7705349915286542,-9.022890067766346
0.032,0.7638468389274625,-9.026109539091243
0.04,0.7561347752626525,-9.03005476458068
0.048,0.7476008091063499,-9.034691775618386
0.056,0.7382862664072615,-9.03990848913355
0.064,0.7287308215351082,-9.045711114054708
0.072,0.719025060820556,-9.051893141675963
0.08,0.7093546987167827,-9.058445241711516
0.088,0.6998392756991367,-9.065393846548076
0.096,0.690668946789773,-9.072758102643162
0.104,0.6819989931939191,-9.080529013634287
0.112,0.6739783823838107,-9.08869585100976
0.12,0.6666830778734548,-9.09725845498063
0.128,0.6602019985859268,-9.10618873918247
0.136,0.6545852571492102,-9.115389150301349
0.144,0.6498214156003378,-9.12479226652672
0.152,0.6459245326959648,-9.134256814995451
0.16,0.642838717181994,-9.143683603035463
0.168,0.6404901425439198,-9.152977308089618
0.176,0.638810031837284,-9.162092194380106
0.184,0.6376980920991647,-9.17096303841877
0.192,0.6370542003964336,-9.179572977044272
0.2,0.6367035248425502,-9.187926904381246
0.208,0.6365138658327312,-9.196009388082164
0.216,0.6363190441737817,-9.203863920900233
0.224,0.6359460447177269,-9.211553728520862
0.232,0.6353063218359005,-9.2191144253166
0.24,0.634304906508974,-9.226616424348602
0.248,0.6329436683162762,-9.234046277471652
0.256,0.6312434680363689,-9.241384457043559
0.264,0.6292600830574655,-9.248595290701164
0.272,0.6270059735818891,-9.255635735251419
0.28,0.6244988151286436,-9.262452657172528
0.288,0.6216931391170969,-9.269039198383084
0.296,0.6185326817368995,-9.275349684722073
0.304,0.6149319224813531,-9.281412294450682
0.312,0.6107635187666964,-9.28725341294817
0.32,0.6059669632934113,-9.292916939442387
0.328,0.6004459612052336,-9.298490553663305
0.336,0.5941571565422479,-9.304043180614423
0.344,0.5871362731879736,-9.3096503364022
0.352,0.5794207686833335,-9.315374133731725
0.36,0.5711134741207554,-9.32119701933654
0.368,0.5623129847614667,-9.327093615542992
0.376,0.5530755844478232,-9.333005932836507
0.384,0.5435453867124868,-9.338859421589817
0.392,0.5337350415918793,-9.344649348734528
0.4,0.523734265194548,-9.350345601345104
0.408,0.5135523122009026,-9.356004795074172
0.416,0.5032682808700862,-9.361693545414914
0.424,0.49294696125125453,-9.367489480887153
0.432,0.4826926173538293,-9.373479225225188
0.44,0.47259208707342604,-9.379707408068462
0.448,0.4627670475234031,-9.386224271716237
0.456,0.45333723421691086,-9.39301103909352
0.464,0.4443214658943081,-9.40009555340249
0.472,0.4357310205095544,-9.407470951387356
0.48,0.42751038102751165,-9.415145058194847
0.488,0.4195530330370397,-9.423136514414628
0.496,0.411782623679249,-9.431382529673204
0.504,0.40403916209003526,-9.439876835524087
0.512,0.39634435588362765,-9.448526258225007
0.52,0.3886691685846376,-9.457287580639779
0.528,0.3810211891593721,-9.466117505192427
0.536,0.37348063381930324,-9.475012847722976
0.544,0.3661419567632788,-9.483924930748607
0.552,0.35910209079763145,-9.492818195023549
0.56,0.35247617947585413,-9.501633871770776
0.568,0.3463227034933339,-9.510312451500011
0.576,0.3406547512598253,-9.518872748164833
0.584,0.33538504512352985,-9.527361332652168
0.592,0.3304255301669846,-9.535843597031922
0.6,0.32570764250196194,-9.544396706450085
0.608,0.32118153560156104,-9.553047276143511
0.616,0.3168282406587263,-9.561769885193721
0.624,0.31265122475660234,-9.570487942581869
0.632,0.30880865440739513,-9.57908211862312
0.64,0.30540380076809076,-9.587445982771559
0.648,0.30263594476519573,-9.595458150968504
0.656,0.30066256417761544,-9.603085675525227
0.664,0.29961384258494445,-9.610292262350532
0.672,0.29951163246695206,-9.61709870757198
0.68,0.30031957711145246,-9.623538638403762
0.688,0.3018780093179346,-9.629655755732388
0.696,0.3039930452746008,-9.63549690233959
0.704,0.3064305095508543,-9.641112451065947
0.712,0.3089961685249759,-9.646580681776896
0.72,0.3115169821865361,-9.651945353796874
0.728,0.31390624036242626,-9.657264364415893
0.736,0.31611400376581267,-9.662561723597836
0.744,0.31807606796715204,-9.667863063731406
0.752,0.3197473855645929,-9.673142789001128
0.76,0.3210754907991184,-9.678412675820763
0.768,0.3220116512949872,-9.683662031995295
0.776,0.3224632196210823,-9.688916100013344
0.784,0.32242039211181306,-9.694182361667426
0.792,0.3218246260787799,-9.699464570238803
0.8,0.3206930035094347,-9.70474736087281
0.808,0.31905522166308925,-9.710036524365169
0.816,0.31697649356836083,-9.71529803748362
0.824,0.3144954090412523,-9.720534203170663
0.832,0.3116600489462512,-9.725753250257494
0.84,0.30854347908079,-9.730966667028152
0.848,0.3051611166394372,-9.736244171276166
0.856,0.30156803368450885,-9.741646484060979
0.864,0.2978396812345078,-9.74728899639168
0.872,0.29403572426385577,-9.753204936603462
0.88,0.2902308858398904,-9.759470287849462
0.888,0.286491324382702,-9.766106128725662
0.896,0.2828788366311275,-9.773078680638985
0.904,0.2793782806223794,-9.780383528086071
0.912,0.27596754105002175,-9.78796991185024
0.92,0.2725298055790436,-9.795907608059087
0.928,0.26888030602419066,-9.804248135476794
0.936,0.26487476368958535,-9.813148700079394
0.944,0.2602951872123853,-9.822770379449615
0.952,0.25505224554482986,-9.833209803818352
0.96,0.24916198586116947,-9.844397302480978
0.968,0.24275614003145457,-9.85619038697906
0.976,0.23609227519565498,-9.868204140925616
0.984,0.22943226927288338,-9.880026941297151
0.992,0.2230321138609589,-9.891201971468837
1.0,0.2170267829082686,-9.901356739875686
1.008,0.21144168272769148,-9.910232374474838
1.016,0.20615857433882792,-9.917761061985185
1.024,0.20087993291817202,-9.924038256334487
1.032,0.19513159597765825,-9.929235629928506
1.04,0.18813805157182198,-9.93354330087389
1.048,0.17888470942007884,-9.9370832008042
1.056,0.16599083129312048,-9.939815153115822
1.064,0.147944629795275,-9.94145309036056
1.072,0.12315645989286468,-9.941503760456657
1.08,0.09031277559947994,-9.939250986497099
1.088,0.04857589178730078,-9.933809874910985
1.096,-0.002289620359645103,-9.924333517683921
1.104,-0.061577131553815445,-9.910086353639905
1.112,-0.1278513870460651,-9.890639647325834
1.12,-0.19896224077700636,-9.866181818298811
1.128,-0.27230510938199143,-9.837562151686697
1.136,-0.3450659928942789,-9.806293561570605
1.144,-0.4146885523056335,-9.774314285449893
1.152,-0.47906617151433856,-9.74350286265524
1.16,-0.5368590723685489,-9.715326393659794
1.168,-0.5876095291988923,-9.690417551991207
1.176,-0.6319066250006173,-9.668520485816673
1.184,-0.67137782018658,-9.648638387720242
1.192,-0.7084728090720949,-9.629211731284334
1.2,-0.7462355005598887,-9.608517725874853
1.208,-0.7877603967020907,-9.58490776885357
1.216,-0.8357571024306282,-9.556971293433019
1.224,-0.8921066973854979,-9.523652312437234
1.232,-1.0078038254231432,-9.451093545095155
1.24,-1.0819631054231562,-9.403595139093124
1.248,-1.162656549079995,-9.351660227004515
1.256,-1.2489358381178866,-9.296003452682616
1.264,-1.3041563830189555,-9.272160309745756
1.272,-1.4056780982872166,-9.20920470812527
1.28,-1.5109517865499564,-9.144200161643106
1.288,-1.619423626495401,-9.077841055156833
1.296,-1.730820321453863,-9.010486598297794
1.304,-1.8449772450851665,-8.94220111317902
1.312,-1.9617223641585109,-8.872943231824527
1.32,-2.080610040964101,-8.80263666879902
1.328,-2.2007792148974077,-8.731388409289156
1.336,-2.3207380058720135,-8.65946595368911
1.344,-2.438482784456579,-8.587273119769876
1.352,-2.5516777744057544,-8.515114907414524
1.36,-2.657947922075027,-8.442772713324603
1.368,-2.755143751382798,-8.369497399325695
1.376,-2.841552482241988,-8.294046730827104
1.384,-2.9158844166416746,-8.215084339947976
1.392,-2.977054839765674,-8.13157628082562
1.4,-3.024153344033439,-8.043168416764898
1.408,-3.0560999009923777,-7.950103607270576
1.416,-2.976148833234966,-7.82364084178477
1.424,-2.954616423246435,-7.721284257533244
1.432,-2.9095569328132074,-7.618520040023108
1.44,-2.8378047156549893,-7.516613329358942
1.448,-2.7357315851277,-7.416468705246593
1.456,-2.599532802236939,-7.3185964761956
1.464,-2.4254257595721587,-7.223220378068258
1.472,-2.209963713956632,-7.1304142413885545
1.48,-1.9501625571295262,-7.040335235417219
1.488,-1.6436936177019887,-6.953394614910366
1.496,-1.288866852711683,-6.870301089037387
1.504,-0.884816851129841,-6.791990382698086
1.512,-0.43151501276102194,-6.719399566490455
1.52,0.07033254751807401,-6.653114200889872
1.528,0.6193542828313633,-6.593015895195149
1.536,1.2135762950274374,-6.53821017261232
1.544,1.8507318637335157,-6.486985934961454
1.552,2.528232431366654,-6.437134763697163
1.56,3.2434173902227497,-6.386294191219713
1.568,3.9933635172059363,-6.332384651573497
1.576,4.775099519362949,-6.273917552539636
1.584,5.585257420010223,-6.2102684716968115
1.592,6.420216655132095,-6.141795862408568
1.6,7.27595576925431,-6.069789875022279
1.608,8.148020419643982,-5.996302966177855
1.616,9.031532990063859,-5.923762024520935
1.624,9.921223292719223,-5.854586960313293
1.632,10.811536094903285,-5.79079940833371
1.64,11.69699381670777,-5.73372652047878
1.648,12.572442431210865,-5.683721482139962
1.656,13.433529369989722,-5.64019973932834
1.664,14.276807822825848,-5.601703954825628
1.672,15.09982436869166,-5.566207789128335
1.68,15.900946829807493,-5.531547636113807
1.688,16.679070068002865,-5.495816998613563
1.696,17.433325158167296,-5.45765005712276
1.704,18.16284513716221,-5.416354704769718
1.712,18.866670242300017,-5.371772734052899
1.72,19.543790914845506,-5.3240777053667845
1.728,20.193292304034642,-5.273588518290323
1.736,20.814700470899396,-5.22044352750939
1.744,21.408075622319164,-5.16472605277194
1.752,21.97436222068246,-5.1063943777365095
1.76,22.515404997327362,-5.045369645483477
1.768,23.033858214343216,-4.981680965416887
1.776,23.533123653811046,-4.915389504582785
1.784,24.017120437086785,-4.846615565258207
1.792,24.489873670389198,-4.775372814081455
1.8,24.95534533333846,-4.701588260650435
1.808,25.416968598089273,-4.625026844188618
1.816,25.87756467934041,-4.545346624831779
1.824,26.339252185612224,-4.462178124063406
1.832,26.803590178287454,-4.375123884555862
1.84,27.2716573012222,-4.283775813291485
1.848,27.744211747544288,-4.187720975585503
1.856,28.221869306284194,-4.086483504737494
