Time [s],Plantarflexion(+)/dorsiflexion(-),Supination(-)/pronation(+)
0.0,-6.776228899483763,-13.206491502420908
0.05,-6.64150568647828,-13.27427514952925
0.1,-6.498728447359688,-13.282369511397585
0.15,-6.444928277300963,-13.29490923414199
0.2,-6.405159764556505,-13.348580750941835
0.25,-6.438028600043942,-13.362659771688651
0.3,-6.4870368450289595,-13.402968297100056
0.35,-6.515716564758424,-13.455603223457274
0.4,-6.574287222292225,-13.443230949787917
0.45,-6.597339544363693,-13.390288242992076
0.5,-6.655435159594857,-13.315356096517904
0.55,-6.69669802297548,-13.289764164931446
0.6,-6.730698156865416,-13.294631413953727
0.65,-6.794022725064173,-13.319528138764182
0.7,-6.8174832370039855,-13.341001416915642
0.75,-6.828303625538922,-13.353633221639408
0.8,-6.8869370870013205,-13.330294849881671
0.85,-6.931061589427294,-13.288849121265534
0.9,-6.926565764847779,-13.242291675867241
0.95,-6.932675458262874,-13.153353827410147
1.0,-6.934570253902194,-13.085542269976031
1.05,-6.890048148104374,-12.933313113267442
1.1,-6.839230675929647,-12.823922264493373
1.15,-6.798780428594111,-12.760581398137614
1.2,-6.792024356257207,-12.749854991454283
1.25,-6.762394187826154,-12.777351186874782
1.3,-6.642498622723004,-12.92799412268456
1.35,-6.600414890639138,-13.011124128397555
1.4,-6.66069895409748,-13.143344178875898
1.45,-6.689264887762973,-13.415870537786486
1.5,-6.761581487414169,-14.088886085815497
1.55,-6.851817394061849,-15.02025339254069
1.6,-6.8540507266573645,-15.58322522883934
1.65,-6.730961449985605,-16.168731933318618
1.7,-6.549127318902569,-17.09112051200583
1.75,-6.398910358339575,-17.814194909608428
1.8,-6.338565318625474,-18.170828924896224
1.85,-6.586202202598437,-18.38694805153081
1.9,-7.521029950545013,-18.479415759175822
1.95,-9.393898760530874,-18.300401036701302
2.0,-11.933793482587985,-17.347507481851828
2.05,-13.224895112217393,-16.98845749215507
2.1,-14.165637949336773,-17.24421108115798
2.15,-14.179377048585144,-17.321268286921363
2.2,-12.903138154407884,-16.993663543712735
2.25,-11.77244067236622,-15.515968417785793
2.3,-11.110033442293046,-14.09545854378159
2.35,-11.314243242813296,-12.787945014119936
2.4,-11.970060889426831,-13.862636051359312
2.45,-12.851695786552336,-13.720882630772923
2.5,-12.332215216035673,-14.040854609382494
2.55,-10.99438218412937,-14.760965205991987
2.6,-10.080298349311043,-15.381372515048401
2.65,-9.601784193572342,-15.900155427910159
2.7,-9.229870064744171,-16.62236206639825
2.75,-8.481775248763274,-17.442894444211923
2.8,-7.512378266292114,-18.538873252124272
2.85,-6.575959714320039,-19.411412343876187
2.9,-5.717493268365259,-20.134291179430853
2.95,-4.988705778159335,-20.684183911461805
3.0,-4.506034516429287,-20.974615831883394
3.05,-4.8164180569919255,-20.819466381962748
3.1,-6.274704844559895,-19.999018025170173
3.15,-8.05990149894844,-18.56305278424225
3.2,-8.581825950674695,-17.20431995164801
3.25,-9.744554196678267,-15.85190420019204
3.3,-12.710840636189388,-13.143714920476087
3.35,-16.996420391900717,-12.157583129196048
3.4,-22.03036138373581,-10.11726524910641
3.45,-25.349329687644882,-8.929965122802416
3.5,-26.40292354940014,-8.278876383352939
3.55,-25.39043303283989,-7.844254495088829
3.6,-22.635901322494046,-7.5257147623774
3.65,-19.052726902587374,-6.750846195084115
3.7,-15.36775759795962,-5.8425079246864415
