Time [s],Flexion(+)/extension(-),Sidebend left(-)/right(+)
0.0,-60.050765365708294,0.3013127235969757
0.05,-60.14897006078332,0.2585628979345398
0.1,-59.95460162484496,0.3041067320371561
0.15,-59.64036586460589,0.3751584966318838
0.2,-59.27277789573419,0.4314192264245224
0.25,-59.1067133411757,0.5835482315030185
0.3,-59.2372201614265,1.0517368176328799
0.35,-59.211939767781395,1.697730819914512
0.4,-58.92013180632353,2.369214967619586
0.45,-58.45864313556026,2.858893153329479
0.5,-57.61323388722993,3.232981441124738
0.55,-56.655023299863174,3.5986147878346038
0.6,-55.64768680634619,3.9532327884741654
0.65,-54.97316229602944,4.117651672627415
0.7,-54.70843064225905,4.150039091850566
0.75,-54.487592406831,4.279129652350071
0.8,-54.26480918357455,4.55416551920796
0.85,-54.09687857681456,4.841978666522281
0.9,-53.92975014917838,5.0376335427971775
0.95,-53.91071638202609,5.1993329665010455
1.0,-53.806412321496786,5.355212657572696
1.05,-53.52835854817289,5.56025972331896
1.1,-53.53844343241156,6.317341498799382
1.15,-53.54620047705868,6.75774357594837
1.2,-53.469362222486644,7.106227220217539
1.25,-53.47565912996254,7.354919506662445
1.3,-53.36804931511587,7.421696971926572
1.35,-53.071705248197496,7.509392964894331
1.4,-52.87939547226565,7.354697874756596
1.45,-52.76211018902465,7.3972437737938685
1.5,-52.71780713759348,7.346407439241411
1.55,-52.5553747416361,7.2024434478207375
1.6,-52.48108728626186,7.084214314186082
1.65,-52.63735292701588,7.039919285061805
1.7,-52.80541203899833,7.21952573444198
1.75,-53.073822410697154,7.350611665829335
1.8,-53.22601072647655,7.2765088589278895
1.85,-53.35981686104633,7.2829424510519
1.9,-53.62791668130835,7.306966685614949
1.95,-53.80080977134998,7.345746650030965
2.0,-53.87414213012074,7.362946166256438
2.05,-53.88636000242985,7.390590340848384
2.1,-53.94361471640461,7.44557309011875
2.15,-54.16664198380428,7.449125601753705
2.2,-54.5431122629148,7.285018528025887
2.25,-55.054048214343524,7.177306949944097
2.3,-55.61896509628503,7.113049969872931
2.35,-55.64789577393721,7.137685541053365
2.4,-55.41989043846538,6.99335328850417
2.45,-55.475788100542765,6.814560332784553
2.5,-56.00302294707736,6.3444108039345215
2.55,-56.658246283140784,5.594628207757823
2.6,-57.22281649882908,5.101051452754806
2.65,-57.77467475619736,4.91031900566545
2.7,-58.89978317995775,5.014881517708123
2.75,-60.166698225822714,5.2215745656364945
2.8,-61.1346608786481,5.828417406718027
2.85,-62.21247862159723,6.446186972020099
2.9,-62.64942544519243,6.725311012367299
2.95,-62.85458287823286,6.64302352758614
3.0,-63.08367046229548,6.030747699080036
3.05,-63.370202324228146,5.2130778841233045
3.1,-63.8438224281004,4.6668261305546785
3.15,-64.17007130219301,4.447721936544727
3.2,-64.0859921093721,4.75944248317665
3.25,-64.12988111085436,5.0300869743688335
3.3,-64.2479904670849,5.146524789103112
3.35,-64.98167074623174,4.947589545654406
3.4,-65.91872289967252,4.399186500740402
3.45,-67.40294919697818,3.694424086103879
3.5,-68.43768249982827,2.9660790476919363
3.55,-69.05178700433405,2.1803191768542725
3.6,-69.72332124121078,0.386349382134579
3.65,-70.13006985689438,-1.5691744137103203
3.7,-71.27276539460883,-2.9824494753964697
3.75,-71.68842011369996,-3.676461540278962
3.8,-72.1748458811274,-4.26465155227647
3.85,-71.20939418920014,-4.642067725843247
3.9,-70.79130219856347,-4.791852965593395
3.95,-70.10212446413608,-4.571438796301174
4.0,-69.70193668835104,-4.561331525645844
4.05,-69.91293078559056,-4.651533989631149
4.1,-69.54252870940435,-4.42318036131586
4.15,-69.58551501968932,-4.0935519918288
4.2,-69.84420638316409,-3.3445435147201983
4.25,-70.04874793345817,-1.8980931592372645
4.3,-70.07060004887883,-0.15000165781269564
4.35,-69.02968112436967,1.5029728826222544
4.4,-69.20270127732934,2.599741129588489
4.45,-69.02405928987034,3.0752146677121974
4.5,-70.52604476320859,3.1136820715928404
4.55,-75.02941907563608,3.4816727455489764
4.6,-79.44044075905354,4.475741267486179
4.65,-82.86453603539493,7.374487148581656
4.7,-83.93040084117908,10.36045123979756
4.75,-84.67580727503106,12.654178051927715
4.8,-88.11104453470952,14.477150305887623
4.85,-91.33723786597854,16.275586831819933
4.9,-90.79805607693042,17.3220478550851
4.95,-92.5496503102558,17.710892714997343
5.0,-94.05545894593412,17.863970886785438
5.05,-94.96737514145622,18.733155993774854
5.1,-94.77153633020123,21.041197191414177
5.15,-95.04933095286599,23.29397021547645
5.2,-94.96063926725824,24.54646058290578
5.25,-93.6576085372536,24.71693020822991
5.3,-94.83084547635168,24.96560588474777
5.35,-96.39856586142362,24.709620043115613
5.4,-97.26026241830975,24.7491039631311
5.45,-97.94519988998282,23.428919159383497
5.5,-97.3802621210304,20.85668950947407
