Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,0.9051045530273474,-1.510985295729047
0.025,0.8934527471741492,-1.5192110752753663
0.05,0.8800892878813631,-1.5130168007183264
0.075,0.8699909213831246,-1.495286147337231
0.1,0.8634005997484586,-1.468257558544453
0.125,0.8598912909483198,-1.4490624834274803
0.15,0.8587174224068279,-1.4355297672147402
0.175,0.8606506367594857,-1.4208047600409772
0.2,0.8663673965037528,-1.4044495609803982
0.225,0.8745727519510866,-1.3857429791878226
0.25,0.8808583035942698,-1.366719573691776
0.275,0.8876089311002536,-1.3537449944087858
0.3,0.8983404895063037,-1.347439328174152
0.325,0.9015270089123048,-1.343847436576351
0.35,0.8823649199223222,-1.337747165002088
0.375,0.844787704371652,-1.3291849394536843
0.4,0.804883327365623,-1.3234809473117781
0.425,0.775295351975994,-1.318933641751001
0.45,0.757584739450233,-1.3143270933020657
0.475,0.743259086533989,-1.3117433704317147
0.5,0.7261988369412837,-1.3090666861141527
0.525,0.7137400522922579,-1.299428250971969
0.55,0.718602231095201,-1.2796770869160536
0.575,0.7368649026709468,-1.2596768427590959
0.6,0.7491302657656341,-1.245740302433432
0.625,0.7499536554241975,-1.2289326692074023
0.65,0.75303313797316,-1.1985346617061596
0.675,0.7640998599294234,-1.1594049345032942
0.7,0.7721704199244444,-1.121421007222362
0.725,0.7687448933997942,-1.0873072255159841
0.75,0.758086133907953,-1.0529090901637626
0.775,0.7457540144487789,-1.0150100237046173
0.8,0.7309290095206326,-0.9745740386267432
0.825,0.7091867930034736,-0.9349559230704881
0.85,0.6782720779904927,-0.9027059718445695
0.875,0.6454735197144904,-0.8896841240638832
0.9,0.5565187793478442,-0.8238614359287966
0.925,0.5727747028418676,-0.767617855004605
0.95,0.7178813858654434,-0.672053241004369
0.975,0.9897908650982379,-0.5321799965994359
1.0,1.3403992494439108,-0.3076929552180866
1.025,1.746054777477877,0.028651938838428707
1.05,2.2293974316505403,0.45040205184118115
1.075,2.824810277954248,0.9139897169889222
1.1,3.498696119350494,1.3929105391774335
1.125,4.164152879020319,1.894267583435105
1.15,4.747991319750551,2.409654291593017
1.175,5.228905028478821,2.895584247470072
1.2,5.638114218642095,3.2900631224723336
1.225,6.031371408508686,3.5480890251548143
1.25,6.438595537277437,3.677200933830463
1.275,6.84024792994958,3.717560538690128
1.3,7.1870913172604425,3.713060156426415
1.325,7.450076383931056,3.672027496023094
1.35,7.638532944637167,3.5932559093112273
1.375,7.778842236628201,3.4809666161903343
1.4,7.881669743503506,3.336819755515658
1.425,7.940496872655521,3.183500098346642
1.45,7.955961707466083,3.043857857147053
1.475,7.942978925459807,2.920979880263327
1.5,7.903870215077471,2.81433761947566
1.525,7.822261835495776,2.719721895328986
1.55,7.707226018678862,2.642979600563136
1.575,7.584123129820249,2.6031726155481505
1.6,7.4586152910904415,2.5892948165278162
