Time [s],Plantarflexion(+)/dorsiflexion(-),Supination(-)/pronation(+)
0.0,0.0,0.0
0.025,0.0,0.0
0.05,0.0,0.0
0.075,0.0,0.0
0.1,0.0,0.0
0.125,0.0,0.0
0.15,0.0,0.0
0.175,0.0,0.0
0.2,0.0,0.0
