Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,-0.33296966552734375,0.22211548686027527,-0.492186039686203,0.1834736317396164,-0.36762771010398865,0.16934534907341003
0.025,-0.34380877017974854,0.23918625712394714,-0.48019158840179443,0.18346025049686432,-0.3681862950325012,0.16972392797470093
0.05,-0.2900271713733673,0.3077201545238495,-0.46674370765686035,0.17343783378601074,-0.39337706565856934,0.16749157011508942
0.075,-0.1710030734539032,0.3960695266723633,-0.41501685976982117,0.13694940507411957,-0.47730255126953125,0.15474054217338562
0.1,-0.08692476898431778,0.3646583557128906,-0.2418881058692932,0.09935304522514343,-0.514612078666687,0.13445791602134705
0.125,-0.019941329956054688,0.194004088640213,0.005855135153979063,0.05688437446951866,-0.4160800278186798,0.11878471076488495
0.15,-0.006490423809736967,0.04276468604803085,0.1637984961271286,0.02700859308242798,-0.10919833183288574,0.12359471619129181
0.175,-0.16160447895526886,0.010631592012941837,0.24903683364391327,0.024715742096304893,0.19013376533985138,0.14411938190460205
0.2,-0.40233030915260315,-0.08173464983701706,0.14528852701187134,0.0376923531293869,0.4637186527252197,0.16484381258487701
0.225,-0.4486772418022156,-0.01671219803392887,-0.06443201005458832,0.1314575970172882,0.7648718357086182,0.2698567807674408
0.25,-0.45546144247055054,-0.059425294399261475,0.5479254722595215,0.19640156626701355,0.34810778498649597,0.29243507981300354
0.275,-0.2295098900794983,-0.34350287914276123,1.202215313911438,0.17572706937789917,0.26995325088500977,0.3101857900619507
0.3,-0.5364751219749451,-0.14946259558200836,1.039686679840088,0.16313622891902924,0.3515125811100006,0.3856391906738281
0.325,-0.7958524823188782,-0.12155815213918686,0.4190390706062317,0.12625160813331604,0.356827050447464,0.3884390890598297
0.35,-0.5297563672065735,-0.160487100481987,0.8033323884010315,0.15239647030830383,-0.3027563691139221,0.3279476761817932
0.375,-0.14145217835903168,-0.2896164357662201,1.558988094329834,0.2181929051876068,-0.5397672057151794,0.36407187581062317
0.4,0.01668264903128147,-0.38072293996810913,1.0810867547988892,0.23008723556995392,0.2744681239128113,0.4692170023918152
0.425,-0.06882546097040176,-0.10374550521373749,-0.2586468756198883,0.21222911775112152,1.1616119146347046,0.5666242241859436
0.45,-0.4589184522628784,0.5984801054000854,-1.394514799118042,0.24203994870185852,1.3151144981384277,0.6102413535118103
0.475,-0.9683898091316223,1.2023943662643433,-2.077518939971924,0.17718027532100677,1.029052495956421,0.590169370174408
0.5,-0.4008060693740845,0.8477858901023865,-1.4691333770751953,0.10019312798976898,-0.12847742438316345,0.38051214814186096
0.525,1.1897226572036743,-0.09855460375547409,0.17200861871242523,0.04654357582330704,-1.144856572151184,0.1041913703083992
0.55,2.035740852355957,-0.047151513397693634,0.4941976070404053,0.11604654788970947,-0.4347110688686371,0.31311342120170593
0.575,3.244814157485962,-0.09478212147951126,-1.9557740688323975,0.3189244866371155,0.848331868648529,0.8086426258087158
0.6,5.45590353012085,0.08015670627355576,-4.875881195068359,0.6771262884140015,1.085306167602539,1.312401294708252
0.625,5.336864948272705,1.0796189308166504,-4.771467208862305,1.353990912437439,0.26227229833602905,1.911312460899353
0.65,3.343029737472534,0.7370859980583191,-2.782902479171753,1.9039602279663086,-0.3402877151966095,2.177088737487793
0.675,0.6393888592720032,-0.7692319750785828,-0.5759469270706177,2.1854734420776367,-0.5201912522315979,2.1995961666107178
0.7,-2.4103193283081055,-2.651768445968628,0.8201645016670227,1.8532453775405884,0.13908319175243378,2.2184784412384033
0.725,-5.107423782348633,-4.21121883392334,1.7425999641418457,1.105639100074768,0.7358871102333069,1.9270106554031372
0.75,-7.207525253295898,-3.9322454929351807,2.678605079650879,0.16740381717681885,0.7141145467758179,1.0200711488723755
0.775,-5.225002288818359,-0.9282817244529724,1.486759066581726,-1.0766675472259521,0.865000307559967,-0.20377956330776215
0.8,-1.0432250499725342,2.1795475482940674,0.11113018542528152,-1.6854006052017212,1.11294686794281,-0.6787685751914978
0.825,-1.7831370830535889,3.2879254817962646,2.548743486404419,-0.9804428815841675,2.098484754562378,0.40414324402809143
0.85,-2.115492105484009,3.4168803691864014,2.1545443534851074,-1.3388121128082275,2.8300321102142334,0.4911063015460968
0.875,-4.284461498260498,3.6411526203155518,-1.265531063079834,-0.8871930241584778,2.8367037773132324,1.1360613107681274
0.9,-2.0537009239196777,-0.22049464285373688,-2.825986623764038,-0.3001006245613098,0.8185914158821106,0.09981781989336014
0.925,-0.0032281246967613697,-0.72284996509552,-0.7186354398727417,-0.22122804820537567,0.2674740254878998,0.18058991432189941
0.95,-0.305358350276947,0.7488442659378052,0.6391023397445679,-0.304139107465744,0.39495640993118286,0.4660232365131378
0.975,-0.04296131432056427,-0.0355319008231163,0.8487087488174438,-0.023364167660474777,-0.09436856210231781,-0.00445909658446908
1.0,0.5486633777618408,-0.7776526808738708,1.450819730758667,0.1742161214351654,-0.5247757434844971,-0.2340240180492401
1.025,0.01826477237045765,-0.6743630170822144,1.344520092010498,0.12873516976833344,0.12181614339351654,0.06734096258878708
1.05,-0.9780264496803284,-0.5864725112915039,0.6599730849266052,0.0986354723572731,0.8562481999397278,0.36402201652526855
1.075,-0.8946495652198792,-0.5599651336669922,0.5521518588066101,0.241896852850914,0.6954917311668396,0.3675265610218048
1.1,0.048692066222429276,-0.35307785868644714,0.47762325406074524,0.42614635825157166,0.25253069400787354,0.2534485161304474
1.125,-0.08547770231962204,0.002939214464277029,-0.08690787851810455,0.43207672238349915,0.3495073616504669,0.3083169758319855
1.15,-0.5724440217018127,0.14603324234485626,-0.4833146035671234,0.5015228986740112,0.07444480061531067,0.1730130910873413
1.175,-0.3740776479244232,0.02843281254172325,-0.3117576241493225,0.6159387826919556,-0.33782586455345154,-0.06040007993578911
1.2,-0.31129229068756104,0.08764171600341797,-0.07776501774787903,0.5290674567222595,-0.17635758221149445,0.024567952379584312
1.225,-0.7838646173477173,0.5141115188598633,-0.2672920525074005,0.36881253123283386,0.06581336259841919,0.19019441306591034
1.25,-0.8565433621406555,0.7292851805686951,-0.8189526796340942,0.33993256092071533,-0.16476021707057953,0.09469649940729141
1.275,-0.35749128460884094,0.5410193800926208,-0.8814550638198853,0.34400686621665955,-0.3993677496910095,-0.09408582746982574
1.3,0.11469200253486633,0.42150118947029114,-0.35069510340690613,0.256460964679718,-0.3313808739185333,-0.11765650659799576
1.325,0.029342547059059143,0.36127567291259766,-0.1625179946422577,0.12700580060482025,-0.22213929891586304,-0.03732914477586746
1.35,0.0819389671087265,0.20638851821422577,0.1281476467847824,0.13849425315856934,-0.5146562457084656,-0.2349698841571808
1.375,0.2790141999721527,-0.0240907184779644,0.4408760964870453,0.1136242151260376,-0.6755724549293518,-0.3537909984588623
1.4,0.15740902721881866,-0.07140439748764038,0.5652630925178528,0.048378247767686844,-0.48860520124435425,-0.2938750386238098
1.425,-0.16560213267803192,-0.08124728500843048,0.44742661714553833,-0.012118279002606869,-0.24442124366760254,-0.18943820893764496
