Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-0.9960374124677883,2.040256205538948,-1.71883018618034
0.05,-0.9945477791075771,2.0304714675113424,-1.7104977263230596
0.1,-0.9664866833644712,1.99215146285189,-1.6588017802241262
0.15,-0.9595179642458582,1.9756239158807392,-1.633681330894208
0.2,-0.9585693211788098,1.955731857546576,-1.6286268529208001
0.25,-0.9606979196155232,1.9445887836719287,-1.6292346660259227
0.3,-0.9584629708793206,1.930506704911244,-1.5990544708411447
0.35,-0.9358686627508402,1.9231850396718313,-1.5723926827035326
0.4,-0.8983237441984397,1.9109473244964084,-1.530532144562644
0.45,-0.9134571386951205,1.8765715128056546,-1.4696515641362964
0.5,-0.8871848467571593,1.833940145624428,-1.427305433431811
0.55,-0.9193103009063112,1.8108454081441354,-1.4855840683871115
0.6,-0.9454620279884413,1.8566474954126075,-1.5382456018624402
0.65,-0.9743169534933351,1.8687291467018068,-1.523358561701303
0.7,-0.972143807532323,1.8688793067661353,-1.4889870019340334
0.75,-1.022662421127655,2.026967424360362,-1.4954704224576432
0.8,-1.2167540819184584,3.249177570609338,-1.8349027374744682
0.85,-1.8533964642784437,6.678422909257472,-3.5334740707305032
0.9,-2.4044310642463036,12.027099707851159,-7.040526090671238
0.95,-3.872644503150005,18.285274814559948,-10.091335120221776
1.0,-5.372036363701866,24.613120534190497,-11.610818579415097
1.05,-8.200682922119935,29.40470012236981,-10.319353092041366
1.1,-12.465810368778843,32.96377831898925,-6.882567075069593
1.15,-16.61357990530046,36.15300827609253,-2.6098822842248914
1.2,-20.709055118429198,38.64640822718152,1.6937963434017147
1.25,-24.163372178630663,40.249542589361674,4.598067216371927
1.3,-26.93662141214022,41.399933239163836,6.145697372909737
1.35,-29.524710737196045,42.65301326935114,7.397426523607657
1.4,-31.61508676101168,43.77139728422004,8.359785417580312
1.45,-32.38746434376522,44.4991759869124,9.50578016990064
1.5,-31.91143526484085,44.38222051008747,11.292761936691658
1.55,-30.80227961071879,43.537485647044626,13.36257632667207
1.6,-29.225650036965412,42.48716865834954,14.898538704855614
1.65,-26.873855174691514,41.45153798553982,15.355306852201336
1.7,-23.056708850462943,39.98234193136992,14.952937113698484
1.75,-17.850774656325907,37.31561408769149,14.214490566119842
1.8,-11.586016035191895,34.00144126958134,13.057048151932873
1.85,-5.801175743122229,30.623796660367006,12.675616602274868
1.9,-1.9075561036130166,27.38824361201,13.672972384545021
1.95,-0.02571521906126775,24.743250496754666,14.855257380615223
2.0,0.9329828805250855,22.63882779644927,14.703800485136137
2.05,1.5885711354807506,20.292110498525712,13.111942010471157
2.1,0.3824645367224039,16.67015625657234,10.923600798924817
2.15,-1.7670398547021682,12.341398737232828,8.090945613438297
2.2,-2.7371269438124584,8.051584660317227,5.8558003121113975
2.25,-2.9552434971553487,4.832823650911052,5.103036151999886
2.3,-2.3344663043796934,2.7807506007792404,4.963411524918983
2.35,-1.6181235823645221,1.8330215998283024,4.9563649396244704
2.4,-1.7170437521446913,1.370298744335716,4.134361438935107
2.45,-2.3456641028914427,1.9076438779809122,2.5912579919609766
2.5,-2.611373115825112,3.912376893853862,1.5030093494646128
2.55,-2.470760147768171,6.253987054177409,1.5996811407102993
2.6,-2.0582539880025377,8.511627180405114,2.2715398277145273
2.65,-1.1113312747291784,10.50094310740359,2.8335051548894103
2.7,0.7859394132153601,11.325890461676012,3.141211875224189
2.75,3.2143621728886647,11.332883454274839,3.4480339833955966
2.8,6.188231982546846,11.038690287075056,4.098048567093034
2.85,8.862392498938974,10.520891908434455,5.141510125632127
2.9,9.970357335297914,10.721505329339806,6.352626187265457
2.95,9.84053544434048,10.46351854227303,7.417263670386678
3.0,8.171617017783484,8.776871155708653,9.259906389521108
3.05,5.985196748185464,7.041076519988065,10.961182725566418
3.1,1.9888909516355593,4.884225782081571,12.036232529123145
3.15,-3.2157122748285603,4.762341972622094,12.24460251356199
3.2,-10.647979993605158,6.0449119047609585,12.500057200091963
3.25,-20.183772570138633,8.10810286038791,13.787977939308043
3.3,-30.009701170287734,10.682442253228066,15.71122477502123
3.35,-35.183544184880276,12.409473812989907,16.490507437588292
3.4,-32.60881720968942,12.564330143677212,14.278829830431553
3.45,-24.3492004460603,10.608348139629967,11.858238056047528
3.5,-14.873062233481411,4.742367914632544,9.489185349472546
3.55,-8.58249385570059,-0.7772433675825972,10.385297754709894
3.6,-2.000853686696338,-0.6942199017735345,11.046312434156247
3.65,6.947471690740432,4.651056339738149,14.057438752232665
3.7,3.6077729859592784,14.861067587399825,23.827163937328017
3.75,-9.430334152718336,27.102466364357483,31.872974683217535
3.8,-22.37400908925609,36.0665814567414,36.495606488945846
3.85,-33.28872719206595,43.00869810685477,35.29301789760272
3.9,-51.125530425910284,48.847695709774975,32.12395685696912
3.95,-73.73321135487558,56.669777568910604,31.635117391358364
4.0,-83.56032140847141,64.30748627081326,27.334928976461747
4.05,-80.48128430286661,66.63080709903784,15.898785555229894
4.1,-71.39992921909749,63.63668319335667,17.36852610933037
4.15,-63.58976347848592,61.008114223765794,20.520689122278196
4.2,-56.64299237770387,59.60687637601463,24.716521665501563
4.25,-49.108618878837184,56.71288844398114,32.60861057472054
4.3,-49.18415987841419,50.56559118420061,49.540285728794565
4.35,-57.417920500061726,40.00918382673628,58.47792364836272
4.4,-54.016637105133746,38.673391932384284,53.98817315834693
4.45,-55.02652606249933,39.0854490983545,51.1300620220221
4.5,-57.739318266467706,40.458930777506296,49.73077576069252
4.55,-58.69969052599743,43.45088518210435,47.586959329652956
4.6,-63.02041480035295,47.21397643787852,42.65860924291486
4.65,-77.44233429367729,53.223089807864035,39.68337288494293
4.7,-91.43928395654947,59.46298342167779,42.066589658506
4.75,-96.3768563065906,58.93393641543101,37.05602789136412
4.8,-89.48539901406734,58.237418189852065,24.697539192812222
4.85,-80.2318539845695,56.105810231657564,21.770118414324315
4.9,-68.37306141800802,56.65690281428216,15.066532788382492
