Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,0.4890122565078835,-5.139936151420947,-71.57303205592068
0.05,0.49447391252724143,-5.118394419222408,-71.55783088900279
0.1,0.49853894978029284,-5.106442219401893,-71.57786014603703
0.15,0.5271105946349296,-5.098338158217073,-71.56948759419939
0.2,0.5934372563275655,-5.049367896648033,-71.58286670852442
0.25,0.5931295562030395,-4.98891844269479,-71.57920824167306
0.3,0.5997245398073894,-4.9350956749256545,-71.57849447731755
0.35,0.6019607985041018,-4.9313780669100495,-71.57602717590008
0.4,0.6108085681016956,-4.93532559714867,-71.57916206914166
0.45,0.6301001161987821,-4.952942597624934,-71.56824822556607
0.5,0.5725487504108598,-4.919762818823738,-71.60628731113178
0.55,0.6017003577360127,-4.892924775248511,-71.55849620090093
0.6,0.6999859775579131,-4.8695531852643015,-71.55457107205879
0.65,0.7490385240614609,-4.88096569572529,-71.5514580171026
0.7,0.8011270901717644,-4.842290900061888,-71.55212347202023
0.75,0.7867372116390468,-4.8156658737638685,-71.54529085638357
0.8,0.6888941992343006,-4.8485434284168125,-71.53015813938073
0.85,0.4514160536751388,-4.917379395952295,-71.49216581610025
0.9,0.3113832835708475,-4.956737348866741,-71.43730146878079
0.95,0.23757918595892957,-4.986528241536536,-71.38292798986534
1.0,0.16812938035998176,-5.024700652342575,-71.29562722171757
1.05,0.11105411220814884,-5.09680650504194,-71.17651703075975
1.1,-0.050991090335688063,-5.200523584384108,-71.06927818293082
1.15,-0.13162675096254509,-5.238561614992174,-70.92190909650195
1.2,-0.0008643731903189174,-5.323881736317775,-70.68952248406512
1.25,-0.03291570117788668,-5.405208344490933,-70.53656687271148
1.3,-0.01980309561396538,-5.43153226545083,-70.36211520337194
1.35,-0.08688614787714248,-5.470102466350895,-70.15238902227081
1.4,-0.20285028209492537,-5.516379858779899,-69.90713674475774
1.45,-0.23783034425159272,-5.520191152349936,-69.56472892850532
1.5,-0.3024204068878438,-5.500228262888622,-69.20199676000297
1.55,-0.4226053222594335,-5.50259559483545,-68.68476420881032
1.6,-0.5699380186487423,-5.462901640069523,-68.02965686822198
1.65,-0.6596458022089046,-5.33785322550156,-67.2038082679123
1.7,-0.5687660217604347,-5.154647405062348,-66.14434236296886
1.75,-0.3495140200728555,-5.018847327987902,-64.81669272405571
1.8,-0.07960632373546304,-4.722672837828811,-63.35460460141148
1.85,0.5290498884582227,-4.343034434425053,-61.51156982867349
1.9,1.3588031551915176,-3.9882034349967976,-59.3892806024405
1.95,1.964281109256746,-3.656270200052269,-56.97729278266005
2.0,2.3610481334754265,-3.374118784711602,-54.18239634657117
2.05,2.6275041748393644,-2.8602020650834845,-51.18457154903043
2.1,2.7931256033138983,-1.971392465316665,-48.09330695574493
2.15,2.8002840645920823,-1.2010103016389688,-44.8915972055295
2.2,2.4505725291678253,-0.8623637641859406,-41.791056353597625
2.25,1.925980722782768,-0.8541078881319613,-38.904104278880965
2.3,1.303024088679325,-0.9010421355701328,-36.1370081854102
2.35,0.628851858293329,-0.6587381988097699,-33.29056235142274
2.4,-0.11147993199237431,-0.3602452254444038,-30.393573256164125
2.45,-0.8982711263459318,-0.31616682694694204,-27.57786561625485
2.5,-1.5160495274913321,-0.7099601030825407,-24.86086280026391
2.55,-1.7309528752251941,-0.9752380349131888,-22.469336772359725
2.6,-1.3635728711577388,-0.8869416110869063,-20.127416393989094
2.65,-1.7174874556151147,-0.5539030159152089,-17.879483065152474
2.7,-1.420319031936496,-0.5210456555404801,-15.468445576935492
2.75,0.9748912834385342,-0.6302807835444325,-13.124111188176087
2.8,4.1621077427487085,-0.4024099320043161,-11.186488421023542
2.85,6.463163173506408,-0.20443681452390242,-9.206431328148453
2.9,9.029258835102306,0.08701135218557024,-7.047416976403266
2.95,11.16256762913801,0.8513318731499983,-4.743119627498901
3.0,13.441396137948487,1.5057487532835616,-2.085375155136132
3.05,16.095746098854853,1.899074738910241,0.8466520971294317
3.1,18.552137930178045,2.718477909397546,4.284617544102969
3.15,21.217395982364224,4.671103496049339,7.347774471281901
3.2,25.018262602139675,7.503025094222837,9.24829633808018
3.25,29.293019389578536,8.79163747469581,11.400952347879189
3.3,32.25007375855886,8.670387613853064,13.290832207048862
3.35,34.27159930632817,9.278080678181219,13.719023744304055
3.4,36.43525428590064,10.994491636066881,13.345384089571018
3.45,38.525830847959625,12.462710439376623,14.05724921471265
3.5,40.07312108427462,13.826886189152003,14.545874811135416
3.55,41.44157941874464,15.415717566121646,14.615659960543683
3.6,43.249794729740316,16.509335039591782,15.02951454697993
3.65,44.43710563709069,17.166774940649905,15.958694628137707
